Class_Code,Service,Flange_Rating,Max_Pressure,Max_Temp,Corrosion_Allow,Piping_Material,Small_Fitting,Valve_Body_Mtl,Valve_Trim,Gasket_Material,Gasket_Bolting,Instr_Spec,Comments,Last_Updt_Id,Last_Updt_date,Special_Note,Maintenance_Note
S-01,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 150 THRU 600 CARBON STEEL  CLASSES,SEE COMPONENT SPECS,SEE APPLICABLE LINE CLASS,450F FOR VALVES,N/A,316SS,CL 3000 SCREWED,316SS/CS,316SS,N/A, ,N/A, ,,2008-1-9,"A.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC, CATACARB, OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.",
S-02,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 900 THRU 2500 CARBON STEEL  CLASSES,SEE COMPONENT SPECS,3000 PSIG,450F FOR VALVES,N/A,316SS,CL 3000 SCREWED,316SS/CS,316SS,N/A,,N/A,,,,,
S-03,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 150 THRU 600 ALLOY 20  CLASSES,SEAMLESS ALLOY 20,SEE APPLICABLE LINE CLASS,450F FOR VALVES,N/A,ALLOY 20,CL 3000 SCREWED,ALLOY 20,ALLOY 20,N/A,,N/A,,,,,
S-04,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 150 THRU 600 LOW ALLOY &  STAINLESS STEEL CLASSES,SEE COMPONENT SPECS,SEE APPLICABLE LINE CLASS,450F FOR VALVES,N/A,316SS,CL 3000 SCREWED,316SS,316SS,N/A, ,N/A, ,,2008-1-9,"A.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC, CATACARB, OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.",
S-05,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 900 THRU 2500 LOW ALLOY & STAINLESS STEEL  CLASSES,SEE  COMPONENT SPECS,3000 PSIG,450F FOR VALVES,N/A,316SS,CL 3000 SCREWED,316SS,316SS,N/A,,N/A,,,,,
S-07,HEAT TRACING FOR INSTRUMENTS,NONE,SEE LINE CLASS,,NONE,N/A,N/A,N/A,N/A,N/A,,N/A,,,,,
S-08,INSTRUMENT AIR SUPPLY PIPING DOWNSTREAM OF FIRST AIR HEADER BLOCK VALVE,CL 200 BRONZE,400 PSIG,300F,NONE,GALV. CARBON STEEL,CL 300 M.I.,SS/BRONZE,SS/ BRONZE,N/A,,N/A,,,,,
S-09,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 150 THROUGH 600 ALLOY C276 UNS N10276 LINE CLASSES,SEE COMPONENT SPECS,SEE APPLICABLE LINE CLASS,450F FOR VALVES,N/A,ALLOY C276,CL 3000 SCREWED,ALLOY C OR ALLOY C276,ALLOY C OR C276,N/A,N/A,N/A, ,,2007-10-25,,
S-10,INSTRUMENT PIPING IN CHLORIDE SERVICES DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 150 THRU 600 CARBON STEEL CLASSES,150,SEE APPLICABLE LINE CLASS,450F FOR VALVES,0,316SS PIPING (MONEL TUBING), ,316SS/CS, ,N/A, ,N/A, ,,2007-11-8,1. THE PRESENCE OF CHLORIDE HAS BEEN FOUND IN SOME PROCESS LINES PREVIOUSLY UNANTICIPATED AND CHLORIDE ATTACK OF THE TUBING HAS ENSUED.,1.Chloride attack identified in crude unit an #1 & 2 reformers.
S-11,INSTRUMENT PIPING IN CHLORIDE SERVICES DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 150 THRU 600 LOW ALLOY &  STAINLESS STEEL CLASSES,SEE COMPONENT SPECS,SEE APPLICABLE LINE CLASS,450F FOR VALVES,N/A,316SS PIPING (MONEL TUBING),CL 3000 SCREWED,316SS,316SS,N/A, ,N/A, ,,2007-11-8,1.THE PRESENCE OF CHLORIDE HAS BEEN FOUND IN SOME PROCESS LINES PREVIOUSLY UNANTICIPATED AND CHLORIDE ATTACK OF THE TUBING HAS ENSUED.,
